,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
37711,19376,Larisa Ceri,F,25.0,176.0,110.0,Bosnia and Herzegovina,BIH,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Heavyweight,
37782,19406,Marua ernjul,F,24.0,177.0,56.0,Slovenia,SLO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's High Jump,
37784,19407,Giovanni Cernogoraz,M,33.0,186.0,90.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Trap,
37817,19427,Linda Cerruti,F,22.0,173.0,56.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Duet,
37818,19427,Linda Cerruti,F,22.0,173.0,56.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,
37820,19429,Isadora Cerullo,F,25.0,158.0,58.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,
37865,19458,Yennifer Mariana Csar Salazar,F,27.0,159.0,57.0,Venezuela,VEN,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",
37881,19464,Claudia Cesarini,F,29.0,177.0,60.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Modern Pentathlon,Modern Pentathlon Women's Individual,
37928,19492,Avtandil Ch'rik'ishvili,M,25.0,182.0,80.0,Georgia,GEO,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Middleweight,
37955,19508,Farid Chaal,M,22.0,196.0,80.0,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,
37966,19518,Wiktor Chabel,M,30.0,192.0,98.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,
37995,19525,Rosa Alba Chacha Chacha,F,33.0,155.0,48.0,Ecuador,ECU,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,
38000,19528,Adrin Chacn Muoz,M,27.0,187.0,90.0,Cuba,CUB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,
38011,19534,Leonardo Chacn Corrales,M,32.0,179.0,65.0,Costa Rica,CRC,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Men's Olympic Distance,
38015,19536,Abdelkader Chadi,M,29.0,175.0,60.0,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Welterweight,
38047,19547,Louisa Chafee,F,24.0,165.0,57.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mixed Multihull,
38073,19563,Chai Biao,M,25.0,186.0,80.0,China-2,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Men's Doubles,
38098,19577,Sheila Chajira Kavugwe,F,22.0,165.0,73.0,Kenya,KEN,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,
38114,19585,Hassen Al-Chaktami,M,27.0,180.0,91.0,Tunisia,TUN,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Heavyweight,
38115,19586,Davit Gochayevich Chakvetadze,M,23.0,174.0,85.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
